density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num,deformation_modulus(-),silo_FoS(-),stability_class
1.6e-09,30,0.2,20,2,0.0008,0.0547722442002081,7.60452801947487,0.226888,3.9414e-08,0,28.72195066557772,0.2707640531684548,GENERAL FAILURE
1.6e-09,30,0.2,20,2,0.0131,0.0104927670881625,0.604593239619922,0.0166991,8.64201e-08,1,1.5663485398655677,1.0497355824461887,STABLE
1.6e-09,30,0.2,20,2,0.0254,0.0130110311893215,0.152564833461882,0.008189,2.64153e-07,2,1.0103715836792455,1.0376766714724341,STABLE
1.6e-09,30,0.2,20,2,0.0377,0.0144800185816642,0.0484765839473106,0.00447522,1.62652e-07,3,0.8743370711038049,1.0443971794621354,STABLE
1.6e-09,30,0.2,20,2,0.05,0.017627848708113,0.0107026224299257,0.00221432,1.41567e-06,4,0.8325437517316489,1.0557365493555118,STABLE
1.6e-09,30,0.2,20,6,0.0008,0.0784858978194553,7.77346156959429,0.423937,1.05488e-08,5,40.91888091688343,0.2668009700694908,GENERAL FAILURE
1.6e-09,30,0.2,20,6,0.0131,0.010912477771689,0.624949207770957,0.0183789,6.36155e-08,6,1.5663669733507908,1.0611142711644665,STABLE
1.6e-09,30,0.2,20,6,0.0254,0.0121716098222685,0.1576013616642,0.00875942,4.11651e-08,7,1.0100720395443694,1.0430241458001184,STABLE
1.6e-09,30,0.2,20,6,0.0377,0.0140603078981377,0.0509948480484696,0.00470519,2.81171e-07,8,0.8743739380742511,1.049635552072657,STABLE
1.6e-09,30,0.2,20,6,0.05,0.0174179933663497,0.0111223331134522,0.00230899,5.30216e-07,9,0.8327419116977975,1.0570544299308946,STABLE
1.6e-09,30,0.2,20,10,0.0008,0.126332915741476,7.98814358421809,0.810931,2.41853e-07,10,65.85593014530761,0.26147884821647654,GENERAL FAILURE
1.6e-09,30,0.2,20,10,0.0131,0.0107026224299257,0.646774163314335,0.0206107,1.78012e-07,11,1.5682978809279144,1.0724100641206944,STABLE
1.6e-09,30,0.2,20,10,0.0254,0.0115420437969787,0.162847745208282,0.00947676,2.07463e-07,12,1.009532860101593,1.0481591314658059,STABLE
1.6e-09,30,0.2,20,10,0.0377,0.0136405972146112,0.0528835461243389,0.00498371,1.29657e-07,13,0.8741988199646313,1.056500226083743,STABLE
1.6e-09,30,0.2,20,10,0.05,0.0169982826828232,0.0130110311893215,0.00241042,5.3043e-07,14,0.8328340791239133,1.058004301101411,STABLE
1.6e-09,30,0.2,20,14,0.0008,0.236297114825419,8.06704919272108,1.5319,1.80828e-08,15,120.13148403631035,0.2600123551470568,GENERAL FAILURE
1.6e-09,30,0.2,20,14,0.0131,0.00965334572110948,0.667969552832423,0.0237937,3.63421e-08,16,1.5749155021230203,1.0834047600342853,STABLE
1.6e-09,30,0.2,20,14,0.0254,0.0128011758475582,0.163687166575335,0.0104299,2.54296e-08,17,1.00878169557875,1.0557756473061726,STABLE
1.6e-09,30,0.2,20,14,0.0377,0.0132208865310847,0.0543525335166816,0.00533706,1.02637e-06,18,0.8737748498044993,1.0617634767121513,STABLE
1.6e-09,30,0.2,20,14,0.05,0.0165785719992967,0.0136405972146112,0.0025244,1.00613e-06,19,0.8328110372673844,1.0588526422305589,STABLE
1.6e-09,30,0.2,20,18,0.0008,0.111223331134522,6.89521696431509,0.809947,7.1075e-08,20,53.21102011936663,0.4744446617227956,GENERAL FAILURE
1.6e-09,30,0.2,20,18,0.0131,0.0107026224299257,0.690843785084617,0.028843,1.46067e-08,21,1.5942337946368672,1.094276366252221,STABLE
1.6e-09,30,0.2,20,18,0.0254,0.0130110311893215,0.169143405461179,0.0117888,1.11952e-06,22,1.007906105030651,1.0635313650848182,STABLE
1.6e-09,30,0.2,20,18,0.0377,0.0153194399487172,0.0556116655672611,0.00581517,7.05327e-07,23,0.8730651606234083,1.0696497223414811,STABLE
1.6e-09,30,0.2,20,18,0.05,0.0174179933663497,0.014270163239901,0.00265762,6.42491e-07,24,0.8326543526429876,1.0624343532151075,STABLE
1.6e-09,30,0.2,26.25,2.625,0.0008,0.0121716098222685,4.01726080737389,0.0501452,1.36598e-09,25,5.991271354675053,1.1390871756958958,STABLE
1.6e-09,30,0.2,26.25,2.625,0.0131,0.010073056404636,0.346681024592888,0.013815,1.76244e-08,26,1.4216577758553761,1.0890616570012404,STABLE
1.6e-09,30,0.2,26.25,2.625,0.0254,0.0123814651640317,0.104298104856335,0.00712054,2.66841e-07,27,1.0559894121831928,1.0672330959279805,STABLE
1.6e-09,30,0.2,26.25,2.625,0.0377,0.0153194399487172,0.0342064207074097,0.00392626,5.98317e-07,28,0.9590713545333112,1.0494158164426566,STABLE
1.6e-09,30,0.2,26.25,2.625,0.05,0.0178377040498762,0.00545623888584449,0.00190387,3.08183e-07,29,0.9281894227066169,1.1289076508061708,STABLE
1.6e-09,30,0.2,26.25,7.875,0.0008,0.0438597664285191,6.50614516068603,0.234873,4.25135e-08,30,26.14256572299253,0.47913906773468645,GENERAL FAILURE
1.6e-09,30,0.2,26.25,7.875,0.0131,0.010912477771689,0.35843292373163,0.0152672,5.13552e-08,31,1.4186853408669746,1.1066820206375345,STABLE
1.6e-09,30,0.2,26.25,7.875,0.0254,0.0138504525563745,0.106396658273967,0.00765292,2.12922e-07,32,1.055145750767343,1.0816713074758626,STABLE
1.6e-09,30,0.2,26.25,7.875,0.0377,0.0155292952904805,0.0358852634415157,0.00413078,2.12636e-07,33,0.9591792647144084,1.060046215359092,STABLE
1.6e-09,30,0.2,26.25,7.875,0.05,0.0169982826828232,0.00650551559466074,0.00200131,3.3207e-07,34,0.9285082482416764,1.1299277000958101,STABLE
1.6e-09,30,0.2,26.25,13.125,0.0008,0.138084814880218,7.18041037377135,0.661077,7.38763e-08,35,81.11706413232865,0.3631791014261777,GENERAL FAILURE
1.6e-09,30,0.2,26.25,13.125,0.0131,0.0107026224299257,0.375431206414453,0.0172358,1.05569e-07,36,1.415104684857844,1.1572556996264367,STABLE
1.6e-09,30,0.2,26.25,13.125,0.0254,0.012591320505795,0.111013475792759,0.00836145,2.87928e-08,37,1.0536350082319836,1.0985021765577312,STABLE
1.6e-09,30,0.2,26.25,13.125,0.0377,0.0148997292651907,0.0371443954920952,0.00438081,9.08149e-08,38,0.9588947742369706,1.0704363743252985,STABLE
1.6e-09,30,0.2,26.25,13.125,0.05,0.0163687166575335,0.00755479230347698,0.00210027,1.10814e-06,39,0.9286701135133222,1.1301950886548413,STABLE
