density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num
1.6e-09,30,0.2,20,2,0.0005,0.100520708704597,17.9843929337687,0.151306,8.10612e-09,0
1.6e-09,30,0.2,20,2,0.025375,0,0,0.00770308,2.91417e-08,1
1.6e-09,30,0.2,20,2,0.05025,0,0,0.00200384,1.56807e-07,2
1.6e-09,30,0.2,20,2,0.075125,0,0,0,0,3
1.6e-09,30,0.2,20,2,0.1,0,0,0,0,4
1.6e-09,30,0.2,20,6,0.0005,0.126332915741476,18.2381080419605,0.221604,1.0422e-07,5
1.6e-09,30,0.2,20,6,0.025375,0,0,0.00805562,1.08087e-07,6
1.6e-09,30,0.2,20,6,0.05025,0,0,0.00207681,6.15988e-07,7
1.6e-09,30,0.2,20,6,0.075125,0,0,0,0,8
1.6e-09,30,0.2,20,6,0.1,0,0,0,0,9
1.6e-09,30,0.2,20,10,0.0005,0.169563116144706,18.7709307546974,0.365219,1.47591e-08,10
1.6e-09,30,0.2,20,10,0.025375,0,0,0.00845535,3.52034e-07,11
1.6e-09,30,0.2,20,10,0.05025,0,0,0.0021463,2.40215e-06,12
1.6e-09,30,0.2,20,10,0.075125,0,0,0,0,13
1.6e-09,30,0.2,20,10,0.1,0,0,0,0,14
1.6e-09,30,0.2,20,14,0.0005,0.34940914403581,20.5070639971047,0.896723,4.53274e-09,15
1.6e-09,30,0.2,20,14,0.025375,0,0,0.00891722,2.69194e-08,16
1.6e-09,30,0.2,20,14,0.05025,0,0,0.00221725,1.02875e-06,17
1.6e-09,30,0.2,20,14,0.075125,0,0,0,0,18
1.6e-09,30,0.2,20,14,0.1,0,0,0,0,19
1.6e-09,30,0.2,20,18,0.0005,0.878454460620963,20.9055792911132,2.50517,5.07874e-08,20
1.6e-09,30,0.2,20,18,0.025375,0,0,0.00946386,3.60613e-07,21
1.6e-09,30,0.2,20,18,0.05025,0,0,0.00228865,5.92522e-07,22
1.6e-09,30,0.2,20,18,0.075125,0,0,0,0,23
1.6e-09,30,0.2,20,18,0.1,0,0,0,0,24
1.6e-09,30,0.2,26.25,2.625,0.0005,0,6.31454723365618,0.0343435,8.34362e-08,25
1.6e-09,30,0.2,26.25,2.625,0.025375,0,0,0.00667974,1.74693e-06,26
1.6e-09,30,0.2,26.25,2.625,0.05025,0,0,0.00170735,1.06489e-06,27
1.6e-09,30,0.2,26.25,2.625,0.075125,0,0,0,0,28
1.6e-09,30,0.2,26.25,2.625,0.1,0,0,0,0,29
1.6e-09,30,0.2,26.25,7.875,0.0005,0,11.4891602508544,0.0647262,2.10686e-08,30
1.6e-09,30,0.2,26.25,7.875,0.025375,0,0,0.0070446,1.02446e-06,31
1.6e-09,30,0.2,26.25,7.875,0.05025,0,0,0.00178744,2.35484e-06,32
1.6e-09,30,0.2,26.25,7.875,0.075125,0,0,0,0,33
1.6e-09,30,0.2,26.25,7.875,0.1,0,0,0,0,34
1.6e-09,30,0.2,26.25,13.125,0.0005,0.136405972146112,16.812350850021,0.254044,3.71695e-08,35
1.6e-09,30,0.2,26.25,13.125,0.025375,0,0,0.00747519,1.3967e-07,36
1.6e-09,30,0.2,26.25,13.125,0.05025,0,0,0.00186394,2.22271e-06,37
1.6e-09,30,0.2,26.25,13.125,0.075125,0,0,0,0,38
1.6e-09,30,0.2,26.25,13.125,0.1,0,0,0,0,39
1.6e-09,30,0.2,26.25,18.375,0.0005,0.299883283379684,17.988590040604,0.586332,3.01612e-09,40
1.6e-09,30,0.2,26.25,18.375,0.025375,0,0,0.00800052,2.16923e-08,41
1.6e-09,30,0.2,26.25,18.375,0.05025,0,0,0.00194055,4.56865e-07,42
1.6e-09,30,0.2,26.25,18.375,0.075125,0,0,0,0,43
1.6e-09,30,0.2,26.25,18.375,0.1,0,0,0,0,44
1.6e-09,30,0.2,26.25,23.625,0.0005,0.549820995419714,18.1766204268239,1.27425,7.45814e-09,45
1.6e-09,30,0.2,26.25,23.625,0.025375,0,0,0.00867222,1.83179e-07,46
1.6e-09,30,0.2,26.25,23.625,0.05025,0,0,0.00201721,3.06672e-07,47
1.6e-09,30,0.2,26.25,23.625,0.075125,0,0,0,0,48
1.6e-09,30,0.2,26.25,23.625,0.1,0,0,0,0,49
1.6e-09,30,0.2,32.5,3.25,0.0005,0,0,0.0185475,3.1084e-08,50
1.6e-09,30,0.2,32.5,3.25,0.025375,0,0,0.00580939,4.34661e-07,51
1.6e-09,30,0.2,32.5,3.25,0.05025,0,0,0.00153831,7.30589e-06,52
1.6e-09,30,0.2,32.5,3.25,0.075125,0,0,0,0,53
1.6e-09,30,0.2,32.5,3.25,0.1,0,0,0,0,54
1.6e-09,30,0.2,32.5,9.75,0.0005,0,0,0.0213916,1.00368e-09,55
1.6e-09,30,0.2,32.5,9.75,0.025375,0,0,0.00615288,3.41694e-07,56
1.6e-09,30,0.2,32.5,9.75,0.05025,0,0,0.0016396,3.46837e-06,57
1.6e-09,30,0.2,32.5,9.75,0.075125,0,0,0,0,58
1.6e-09,30,0.2,32.5,9.75,0.1,0,0,0,0,59
1.6e-09,30,0.2,32.5,16.25,0.0005,0,5.18489592894461,0.0473451,7.4312e-08,60
1.6e-09,30,0.2,32.5,16.25,0.025375,0,0,0.00657474,9.602e-08,61
1.6e-09,30,0.2,32.5,16.25,0.05025,0,0,0.00173451,1.28153e-07,62
1.6e-09,30,0.2,32.5,16.25,0.075125,0,0,0,0,63
1.6e-09,30,0.2,32.5,16.25,0.1,0,0,0,0,64
1.6e-09,30,0.2,32.5,22.75,0.0005,0,11.454953830147,0.17007,4.53057e-08,65
1.6e-09,30,0.2,32.5,22.75,0.025375,0,0,0.00712101,3.49158e-07,66
1.6e-09,30,0.2,32.5,22.75,0.05025,0,0,0.00182238,3.00656e-06,67
1.6e-09,30,0.2,32.5,22.75,0.075125,0,0,0,0,68
1.6e-09,30,0.2,32.5,22.75,0.1,0,0,0,0,69
1.6e-09,30,0.2,32.5,29.25,0.0005,0.399984281400754,15.1236449148521,0.946163,2.11182e-07,70
1.6e-09,30,0.2,32.5,29.25,0.025375,0,0,0.0078895,2.35287e-07,71
